country,year,population
TKM,"2000",4582677
TLS,"2000",745088
TON,"2000",102677
TTO,"2000",1319774
TUN,"2000",9764935
TUR,"2000",65425961
TUV,"2000",9544
TZA,"2000",34260139
UGA,"2000",24000150
UKR,"2000",49556660
URY,"2000",3266206
USA,"2000",282162411
UZB,"2000",24787054
VCT,"2000",113545
VEN,"2000",24526708
VGB,"2000",20241
VIR,"2000",108642
VNM,"2000",77154011
VUT,"2000",186281
WSM,"2000",181685
XKX,"2000",1802493
YEM,"2000",19624141
ZAF,"2000",47159719
ZMB,"2000",10017631
ZWE,"2000",11892055
ABW,"2001",91439
AFG,"2001",20284307
AGO,"2001",16747208
ALB,"2001",3060173
AND,"2001",65852
ARE,"2001",3723590
ARG,"2001",37624825
ARM,"2001",3211800
ASM,"2001",57053
ATG,"2001",76069
AUS,"2001",19274701
AUT,"2001",8042293
AZE,"2001",8111200
BDI,"2001",6634365
BEL,"2001",10286570
BEN,"2001",7445596
BFA,"2001",12295001
BGD,"2001",136805810
BGR,"2001",8009142
BHR,"2001",661316
BHS,"2001",327836
BIH,"2001",4179438
BLR,"2001",9928549
BLZ,"2001",248379
BMU,"2001",61867
BOL,"2001",8752736
BRA,"2001",176301203
BRB,"2001",262425
BRN,"2001",333345
BTN,"2001",610794
BWA,"2001",1712254
CAF,"2001",3919487
CAN,"2001",31020855
CHE,"2001",7229854
CHI,"2001",148850
CHL,"2001",15683849
CHN,"2001",1271850000
CIV,"2001",18178913
CMR,"2001",15309490
COD,"2001",52132646
COG,"2001",3272537
COL,"2001",39709262
COM,"2001",547220
CPV,"2001",460293
CRI,"2001",4008947
CUB,"2001",11144132
CUW,"2001",129047
CYM,"2001",41089
CYP,"2001",964127
CZE,"2001",10216605
DEU,"2001",82349925
DJI,"2001",771313
DMA,"2001",68288
DNK,"2001",5358783
DOM,"2001",8720283
DZA,"2001",31331221
ECU,"2001",12910740
EGY,"2001",74652029
ERI,"2001",2312079
ESP,"2001",40850412
EST,"2001",1388115
ETH,"2001",69487762
FIN,"2001",5188008
FJI,"2001",849596
FRA,"2001",61364377
FRO,"2001",46635
FSM,"2001",112365
GAB,"2001",1309589
GBR,"2001",59119673
GEO,"2001",4014373
GHA,"2001",20167069
GIB,"2001",27657
GIN,"2001",8539960
GMB,"2001",1495011
GNB,"2001",1261273
GNQ,"2001",749836
GRC,"2001",10862132
GRD,"2001",107987
GRL,"2001",56379
GTM,"2001",11969422
GUM,"2001",161329
GUY,"2001",764477
HKG,"2001",6714300
HND,"2001",6757993
HRV,"2001",4299642
HTI,"2001",8455918
HUN,"2001",10187576
IDN,"2001",219097902
IMN,"2001",76476
IND,"2001",1077898575
IRL,"2001",3866243
IRN,"2001",67452005
IRQ,"2001",25197840
ISL,"2001",284968
ISR,"2001",6439000
ITA,"2001",56976981
JAM,"2001",2624403
JOR,"2001",5498894
JPN,"2001",127149000
KAZ,"2001",15575550
KEN,"2001",31619170
KGZ,"2001",4945073
KHM,"2001",12658484
KIR,"2001",90335
KNA,"2001",45761
KOR,"2001",47370164
KWT,"2001",2008121
LAO,"2001",5521482
LBN,"2001",4401918
LBR,"2001",3015338
LBY,"2001",5403639
LCA,"2001",160237
LIE,"2001",33194
LKA,"2001",19600362
LSO,"2001",2000853
LTU,"2001",3470818
LUX,"2001",441525
LVA,"2001",2337170
MAC,"2001",433900
MAF,"2001",30803
MAR,"2001",28814643
MCO,"2001",32447
MDA,"2001",2918135
MDG,"2001",17032939
MDV,"2001",286767
MEX,"2001",100099099
MHL,"2001",51123
MKD,"2001",2034882
MLI,"2001",11912158
MLT,"2001",393028
MMR,"2001",45771139
MNE,"2001",607389
MNG,"2001",2417751
MNP,"2001",67984
MOZ,"2001",18537729
MRT,"2001",2678760
MUS,"2001",1196287
MWI,"2001",11593058
MYS,"2001",23526538
NAM,"2001",1857048
NCL,"2001",227707
NER,"2001",11920647
NGA,"2001",129862595
NIC,"2001",5087825
NLD,"2001",16046180
NOR,"2001",4513751
NPL,"2001",24946748
NRU,"2001",10130
NZL,"2001",3880500
OMN,"2001",2310217
PAK,"2001",159270907
PAN,"2001",3069537
PER,"2001",26964601
PHL,"2001",81401488
PLW,"2001",19352
PNG,"2001",5728435
POL,"2001",38248076
PRI,"2001",3818774
PRK,"2001",23815358
PRT,"2001",10362722
PRY,"2001",5187689
PSE,"2001",2997784
PYF,"2001",244097
QAT,"2001",677925
ROU,"2001",22131970
RUS,"2001",145976482
RWA,"2001",8287094
SAU,"2001",17041397
SDN,"2001",28516770
SEN,"2001",10212942
SGP,"2001",4138012
SLB,"2001",449125
SLE,"2001",4692716
SLV,"2001",5968060
SMR,"2001",27143
SOM,"2001",9198493
SRB,"2001",7503433
SSD,"2001",6308391
STP,"2001",146375
SUR,"2001",486560
SVK,"2001",5378867
SVN,"2001",1992060
SWE,"2001",8895960
SWZ,"2001",1051064
SXM,"2001",30726
SYC,"2001",81202
SYR,"2001",17051338
TCA,"2001",19576
TCD,"2001",8804124
TGO,"2001",5277382
THA,"2001",63651141
TJK,"2001",6407377
TKM,"2001",4675409
TLS,"2001",812249
TON,"2001",103288
TTO,"2001",1325567
TUN,"2001",9869677
TUR,"2001",66245128
TUV,"2001",9586
TZA,"2001",35198299
UGA,"2001",24745676
UKR,"2001",49106855
URY,"2001",3274251
USA,"2001",284968955
UZB,"2001",25090283
VCT,"2001",113501
VEN,"2001",24979922
VGB,"2001",20796
VIR,"2001",108549
VNM,"2001",77969361
VUT,"2001",191031
WSM,"2001",183166
XKX,"2001",1820009
YEM,"2001",20226147
ZAF,"2001",47566800
ZMB,"2001",10325185
ZWE,"2001",11971901
ABW,"2002",92074
AFG,"2002",21378117
AGO,"2002",17327699
ALB,"2002",3051010
AND,"2002",66506
ARE,"2002",3956826
ARG,"2002",38029349
ARM,"2002",3199800
ASM,"2002",57062
ATG,"2002",77032
AUS,"2002",19495210
AUT,"2002",8081957
AZE,"2002",8171950
BDI,"2002",6824132
BEL,"2002",10332785
BEN,"2002",7675426
BFA,"2002",12680897
BGD,"2002",138933658
BGR,"2002",7837161
BHR,"2002",710553
BHS,"2002",331614
BIH,"2002",4188002
BLR,"2002",9865548
BLZ,"2002",256009
BMU,"2002",62142
BOL,"2002",8900355
BRA,"2002",178503484
BRB,"2002",264148
BRN,"2002",340099
BTN,"2002",624409
BWA,"2002",1744763
CAF,"2002",4006077
CAN,"2002",31359199
CHE,"2002",7284753
CHI,"2002",149881
CHL,"2002",15857925
CHN,"2002",1280400000
CIV,"2002",18654771
CMR,"2002",15725528
COD,"2002",53750524
COG,"2002",3350771
COL,"2002",40324680
COM,"2002",558923
CPV,"2002",467046
CRI,"2002",4075705
CUB,"2002",11177418
CUW,"2002",129205
CYM,"2002",42514
CYP,"2002",981440
CZE,"2002",10196916
DEU,"2002",82488495
DJI,"2002",795574
DMA,"2002",68367
DNK,"2002",5375931
DOM,"2002",8852235
DZA,"2002",31750835
ECU,"2002",13138472
EGY,"2002",76239137
ERI,"2002",2392978
ESP,"2002",41431558
EST,"2002",1379350
ETH,"2002",71635517
FIN,"2002",5200598
FJI,"2002",858049
FRA,"2002",61812142
FRO,"2002",47335
FSM,"2002",112448
GAB,"2002",1345135
GBR,"2002",59370479
GEO,"2002",3978515
GHA,"2002",20729388
GIB,"2002",27831
GIN,"2002",8674066
GMB,"2002",1535691
GNB,"2002",1289307
GNQ,"2002",797957
GRC,"2002",10902022
GRD,"2002",108404
GRL,"2002",56595
GTM,"2002",12246915
GUM,"2002",162315
GUY,"2002",763652
HKG,"2002",6744100
HND,"2002",6938859
HRV,"2002",4302174
HTI,"2002",8607641
HUN,"2002",10158608
IDN,"2002",222088495
IMN,"2002",77275
IND,"2002",1097600380
IRL,"2002",3931947
IRN,"2002",68011317
IRQ,"2002",26006559
ISL,"2002",287523
ISR,"2002",6570000
ITA,"2002",57089824
JAM,"2002",2640572
JOR,"2002",5616066
JPN,"2002",127445000
KAZ,"2002",15656677
KEN,"2002",32629808
KGZ,"2002",4990704
KHM,"2002",12855241
KIR,"2002",92264
KNA,"2002",46020
KOR,"2002",47644736
KWT,"2002",2059974
LAO,"2002",5610889
LBN,"2002",4463504
LBR,"2002",3094782
LBY,"2002",5508410
LCA,"2002",161641
LIE,"2002",33694
LKA,"2002",19805752
LSO,"2002",1994679
LTU,"2002",3443067
LUX,"2002",446175
LVA,"2002",2310173
MAC,"2002",438400
MAF,"2002",31604
MAR,"2002",29198142
MCO,"2002",32422
MDA,"2002",2911385
MDG,"2002",17549913
MDV,"2002",291616
MEX,"2002",101548624
MHL,"2002",51425
MKD,"2002",2020157
MLI,"2002",12288050
MLT,"2002",395969
MMR,"2002",46232653
MNE,"2002",609828
MNG,"2002",2449027
MNP,"2002",66778
MOZ,"2002",18958338
MRT,"2002",2738655
MUS,"2002",1204621
MWI,"2002",11880440
MYS,"2002",24102477
NAM,"2002",1889970
NCL,"2002",232236
NER,"2002",12349144
NGA,"2002",133471989
NIC,"2002",5149909
NLD,"2002",16148929
NOR,"2002",4538159
NPL,"2002",25328981
NRU,"2002",10082
NZL,"2002",3948500
OMN,"2002",2337140
PAK,"2002",163222549
PAN,"2002",3129344
PER,"2002",27288217
PHL,"2002",83068889
PLW,"2002",19503
PNG,"2002",5924003
POL,"2002",38230364
PRI,"2002",3823701
PRK,"2002",23943973
PRT,"2002",10419631
PRY,"2002",5261328
PSE,"2002",3075373
PYF,"2002",247775
QAT,"2002",711205
ROU,"2002",21730496
RUS,"2002",145306497
RWA,"2002",8400180
SAU,"2002",17910910
SDN,"2002",29228727
SEN,"2002",10466214
SGP,"2002",4175950
SLB,"2002",457671
SLE,"2002",4971435
SLV,"2002",5986631
SMR,"2002",27491
SOM,"2002",9550063
SRB,"2002",7500031
SSD,"2002",6596806
STP,"2002",149922
SUR,"2002",496551
SVK,"2002",5376912
SVN,"2002",1994530
SWE,"2002",8924958
SWZ,"2002",1059441
SXM,"2002",30960
SYC,"2002",83723
SYR,"2002",17468332
TCA,"2002",20597
TCD,"2002",9116192
TGO,"2002",5413274
THA,"2002",64266437
TJK,"2002",6531669
TKM,"2002",4769465
TLS,"2002",879159
TON,"2002",103874
TTO,"2002",1332011
TUN,"2002",9971515
TUR,"2002",67048795
TUV,"2002",9623
TZA,"2002",36121304
UGA,"2002",25532870
UKR,"2002",48677281
URY,"2002",3278867
USA,"2002",287625193
UZB,"2002",25399980
VCT,"2002",113347
VEN,"2002",25435671
VGB,"2002",21430
VIR,"2002",108509
VNM,"2002",78772224
VUT,"2002",195863
WSM,"2002",184471
XKX,"2002",1829462
YEM,"2002",20835086
ZAF,"2002",48019415
ZMB,"2002",10647949
ZWE,"2002",12087653
ABW,"2003",93128
AFG,"2003",22733049
AGO,"2003",17943712
ALB,"2003",3039616
AND,"2003",69486
ARE,"2003",4192457
ARG,"2003",38424282
ARM,"2003",3182500
ASM,"2003",56971
ATG,"2003",77884
AUS,"2003",19720737
AUT,"2003",8121423
AZE,"2003",8234100
BDI,"2003",7043154
BEL,"2003",10376133
BEN,"2003",7913070
BFA,"2003",13082532
BGD,"2003",140970351
BGR,"2003",7775327
BHR,"2003",764517
BHS,"2003",335618
BIH,"2003",4178523
BLR,"2003",9796749
BLZ,"2003",263780
BMU,"2003",62386
BOL,"2003",9050700
BRA,"2003",180622688
BRB,"2003",265776
BRN,"2003",346637
BTN,"2003",637663
BWA,"2003",1775736
CAF,"2003",4103086
CAN,"2003",31642461
CHE,"2003",7339001
CHI,"2003",150960
CHL,"2003",16024752
CHN,"2003",1288400000
CIV,"2003",19125542
CMR,"2003",16160340
COD,"2003",55343867
COG,"2003",3445753
COL,"2003",40937429
COM,"2003",569798
CPV,"2003",473383
CRI,"2003",4138784
CUB,"2003",11209383
CUW,"2003",131897
CYM,"2003",43934
CYP,"2003",999590
CZE,"2003",10193998
DEU,"2003",82534176
DJI,"2003",813519
DMA,"2003",68531
DNK,"2003",5390574
DOM,"2003",8980620
DZA,"2003",32175818
ECU,"2003",13372306
EGY,"2003",77853548
ERI,"2003",2493903
ESP,"2003",42187645
EST,"2003",1370720
ETH,"2003",73832663
FIN,"2003",5213014
FJI,"2003",866286
FRA,"2003",62249855
FRO,"2003",48032
FSM,"2003",112285
GAB,"2003",1382350
GBR,"2003",59647577
GEO,"2003",3951736
GHA,"2003",21296705
GIB,"2003",28274
GIN,"2003",8870781
GMB,"2003",1577611
GNB,"2003",1318806
GNQ,"2003",847862
GRC,"2003",10928070
GRD,"2003",108884
GRL,"2003",56751
GTM,"2003",12525842
GUM,"2003",163137
GUY,"2003",763101
HKG,"2003",6730800
HND,"2003",7119213
HRV,"2003",4303399
HTI,"2003",8759912
HUN,"2003",10129552
IDN,"2003",225048008
IMN,"2003",78049
IND,"2003",1116803006
IRL,"2003",3996521
IRN,"2003",68769340
IRQ,"2003",26802659
ISL,"2003",289521
ISR,"2003",6689700
ITA,"2003",57399184
JAM,"2003",2656623
JOR,"2003",5741828
JPN,"2003",127718000
KAZ,"2003",15747380
KEN,"2003",33652223
KGZ,"2003",5043308
KHM,"2003",13050968
KIR,"2003",94175
KNA,"2003",46176
KOR,"2003",47892330
KWT,"2003",2109881
LAO,"2003",5697945
LBN,"2003",4525508
LBR,"2003",3119532
LBY,"2003",5619398
LCA,"2003",162976
LIE,"2003",34079
LKA,"2003",19951521
LSO,"2003",1985059
LTU,"2003",3415213
LUX,"2003",451630
LVA,"2003",2287955
MAC,"2003",443600
MAF,"2003",32395
MAR,"2003",29571415
MCO,"2003",32374
MDA,"2003",2903198
MDG,"2003",18071854
MDV,"2003",296491
MEX,"2003",102978515
MHL,"2003",51639
MKD,"2003",2022725
MLI,"2003",12684955
MLT,"2003",398582
MMR,"2003",46667192
MNE,"2003",612267
MNG,"2003",2480374
MNP,"2003",65421
MOZ,"2003",19392475
MRT,"2003",2802046
MUS,"2003",1213370
MWI,"2003",12181574
MYS,"2003",24679602
NAM,"2003",1917464
NCL,"2003",236678
NER,"2003",12796984
NGA,"2003",137202644
NIC,"2003",5210963
NLD,"2003",16225302
NOR,"2003",4564855
NPL,"2003",25688758
NRU,"2003",10059
NZL,"2003",4027200
OMN,"2003",2363796
PAK,"2003",167110248
PAN,"2003",3189807
PER,"2003",27580490
PHL,"2003",84731835
PLW,"2003",19659
PNG,"2003",6123997
POL,"2003",38204570
PRI,"2003",3826095
PRK,"2003",24090380
PRT,"2003",10458821
PRY,"2003",5326436
PSE,"2003",3154969
PYF,"2003",251637
QAT,"2003",744682
ROU,"2003",21574326
RUS,"2003",144648618
RWA,"2003",8586875
SAU,"2003",18786767
SDN,"2003",29896035
SEN,"2003",10721176
SGP,"2003",4114826
SLB,"2003",466154
SLE,"2003",5177687
SLV,"2003",5998599
SMR,"2003",27843
SOM,"2003",9909157
SRB,"2003",7480591
SSD,"2003",6903127
STP,"2003",153814
SUR,"2003",506414
SVK,"2003",5373374
SVN,"2003",1995733
SWE,"2003",8958229
SWZ,"2003",1066700
SXM,"2003",31327
SYC,"2003",82781
SYR,"2003",17889296
TCA,"2003",21727
TCD,"2003",9487833
TGO,"2003",5552167
THA,"2003",64868166
TJK,"2003",6658575
TKM,"2003",4863865
TLS,"2003",916878
TON,"2003",104464
TTO,"2003",1338709
TUN,"2003",10071632
TUR,"2003",67831730
TUV,"2003",9695
TZA,"2003",37089555
UGA,"2003",26352124
UKR,"2003",48315136
URY,"2003",3281186
USA,"2003",290107933
UZB,"2003",25711259
VCT,"2003",113141
VEN,"2003",25892703
VGB,"2003",22134
VIR,"2003",108505
VNM,"2003",79563777
VUT,"2003",200746
WSM,"2003",185430
XKX,"2003",1826434
YEM,"2003",21456379
ZAF,"2003",48500348
ZMB,"2003",10983595
ZWE,"2003",12232323
ABW,"2004",95138
AFG,"2004",23560654
AGO,"2004",18600423
ALB,"2004",3026939
AND,"2004",74325
ARE,"2004",4428967
ARG,"2004",38815916
ARM,"2004",3164900
ASM,"2004",56818
ATG,"2004",78719
AUS,"2004",19932722
AUT,"2004",8171966
AZE,"2004",8306500
BDI,"2004",7310656
BEL,"2004",10421137
BEN,"2004",8159094
BFA,"2004",13500533
BGD,"2004",142902856
BGR,"2004",7716860
BHR,"2004",823741
BHS,"2004",339782
BIH,"2004",4140987
BLR,"2004",9730146
BLZ,"2004",271688
BMU,"2004",62555
BOL,"2004",9204287
BRA,"2004",182675143
BRB,"2004",267298
BRN,"2004",352911
BTN,"2004",650544
BWA,"2004",1807146
CAF,"2004",4192826
CAN,"2004",31938807
CHE,"2004",7389625
CHI,"2004",152039
CHL,"2004",16187322
CHN,"2004",1296075000
CIV,"2004",19595000
CMR,"2004",16610487
COD,"2004",56997741
COG,"2004",3565554
COL,"2004",41543171
COM,"2004",580704
CPV,"2004",479370
CRI,"2004",4200078
CUB,"2004",11238756
CUW,"2004",134192
CYM,"2004",45352
CYP,"2004",1017875
CZE,"2004",10197101
DEU,"2004",82516260
DJI,"2004",826124
DMA,"2004",68649
DNK,"2004",5404523
DOM,"2004",9104892
DZA,"2004",32628286
ECU,"2004",13608701
EGY,"2004",79477443
ERI,"2004",2598284
ESP,"2004",42921895
EST,"2004",1362550
ETH,"2004",76077206
FIN,"2004",5228172
FJI,"2004",874366
FRA,"2004",62707588
FRO,"2004",48384
FSM,"2004",111925
GAB,"2004",1421609
GBR,"2004",59987905
GEO,"2004",3927340
GHA,"2004",21868298
GIB,"2004",28715
GIN,"2004",9062726
GMB,"2004",1621312
GNB,"2004",1349563
GNQ,"2004",899917
GRC,"2004",10955141
GRD,"2004",109323
GRL,"2004",56898
GTM,"2004",12807402
GUM,"2004",163810
GUY,"2004",762418
HKG,"2004",6783500
HND,"2004",7298994
HRV,"2004",4304600
HTI,"2004",8910263
HUN,"2004",10107146
IDN,"2004",227926649
IMN,"2004",78792
IND,"2004",1135991513
IRL,"2004",4070262
IRN,"2004",70256316
IRQ,"2004",27577878
ISL,"2004",292074
ISR,"2004",6809000
ITA,"2004",57828179
JAM,"2004",2672225
JOR,"2004",5882061
JPN,"2004",127761000
KAZ,"2004",15850159
KEN,"2004",34713455
KGZ,"2004",5104713
KHM,"2004",13244731
KIR,"2004",96085
KNA,"2004",46315
KOR,"2004",48082519
KWT,"2004",2157320
LAO,"2004",5781626
LBN,"2004",4599279
LBR,"2004",3156892
LBY,"2004",5736693
LCA,"2004",164239
LIE,"2004",34447
LKA,"2004",20087605
LSO,"2004",1971129
LTU,"2004",3377075
LUX,"2004",458095
LVA,"2004",2263122
MAC,"2004",454700
MAF,"2004",33171
MAR,"2004",29953018
MCO,"2004",32307
MDA,"2004",2896023
MDG,"2004",18606608
MDV,"2004",301413
MEX,"2004",104394131
MHL,"2004",51791
MKD,"2004",2016186
MLI,"2004",13102409
MLT,"2004",401268
MMR,"2004",47068772
MNE,"2004",613353
MNG,"2004",2508412
MNP,"2004",63938
MOZ,"2004",19840313
MRT,"2004",2868664
MUS,"2004",1221003
MWI,"2004",12500737
MYS,"2004",25256772
NAM,"2004",1942082
NCL,"2004",240852
NER,"2004",13265836
NGA,"2004",141057045
NIC,"2004",5272912
NLD,"2004",16281779
NOR,"2004",4591910
NPL,"2004",26016656
NRU,"2004",10060
NZL,"2004",4087500
OMN,"2004",2404821
PAK,"2004",171286000
PAN,"2004",3251155
PER,"2004",27852190
PHL,"2004",86394504
PLW,"2004",19820
PNG,"2004",6328041
POL,"2004",38182222
PRI,"2004",3826878
PRK,"2004",24254943
PRT,"2004",10483861
PRY,"2004",5388175
PSE,"2004",3236626
PYF,"2004",255654
QAT,"2004",773332
ROU,"2004",21451748
RUS,"2004",144067316
RWA,"2004",8816844
SAU,"2004",19669480
SDN,"2004",30556637
SEN,"2004",10975704
SGP,"2004",4166664
SLB,"2004",474611
SLE,"2004",5355717
SLV,"2004",6004671
SMR,"2004",29457
SOM,"2004",10280998
SRB,"2004",7463157
SSD,"2004",7233041
STP,"2004",157705
SUR,"2004",513923
SVK,"2004",5372280
SVN,"2004",1997012
SWE,"2004",8993531
SWZ,"2004",1073159
SXM,"2004",31690
SYC,"2004",82475
SYR,"2004",18336875
TCA,"2004",22856
TCD,"2004",9920036
TGO,"2004",5696508
THA,"2004",65452047
TJK,"2004",6790547
TKM,"2004",4958093
TLS,"2004",929074
TON,"2004",105071
TTO,"2004",1345380
TUN,"2004",10166163
TUR,"2004",68592617
TUV,"2004",9816
TZA,"2004",38109668
UGA,"2004",27154515
UKR,"2004",47979507
URY,"2004",3283148
USA,"2004",292805298
UZB,"2004",26029350
VCT,"2004",112835
VEN,"2004",26340838
VGB,"2004",22881
VIR,"2004",108466
VNM,"2004",80338971
VUT,"2004",205711
WSM,"2004",186249
XKX,"2004",1822773
YEM,"2004",22095167
ZAF,"2004",48991421
ZMB,"2004",11338198
ZWE,"2004",12365896
ABW,"2005",97635
AFG,"2005",24404567
AGO,"2005",19291161
ALB,"2005",3011487
AND,"2005",77421
ARE,"2005",4664790
ARG,"2005",39216789
ARM,"2005",3146400
ASM,"2005",56617
ATG,"2005",79611
AUS,"2005",20176844
AUT,"2005",8227829
AZE,"2005",8391850
BDI,"2005",7587299
BEL,"2005",10478617
BEN,"2005",8426144
BFA,"2005",13932123
BGD,"2005",144715786
BGR,"2005",7658972
BHR,"2005",888822
BHS,"2005",343894
BIH,"2005",4096493
BLR,"2005",9663915
BLZ,"2005",279731
BMU,"2005",62711
BOL,"2005",9360754
BRA,"2005",184688101
BRB,"2005",268706
BRN,"2005",358916
BTN,"2005",661865
BWA,"2005",1839877
CAF,"2005",4288810
CAN,"2005",32242732
CHE,"2005",7437115
CHI,"2005",153126
CHL,"2005",16348778
CHN,"2005",1303720000
CIV,"2005",20068458
CMR,"2005",17074594
COD,"2005",58775724
COG,"2005",3696393
COL,"2005",42128977
COM,"2005",592677
CPV,"2005",485115
CRI,"2005",4261240
CUB,"2005",11262554
CUW,"2005",137658
CYM,"2005",46788
CYP,"2005",1036151
CZE,"2005",10211216
DEU,"2005",82469422
DJI,"2005",839167
DMA,"2005",68734
DNK,"2005",5419432
DOM,"2005",9225034
DZA,"2005",33109249
ECU,"2005",13846163
EGY,"2005",81101004
ERI,"2005",2661215
ESP,"2005",43653155
EST,"2005",1354775
ETH,"2005",78367470
FIN,"2005",5246096
FJI,"2005",882379
FRA,"2005",63180854
FRO,"2005",48359
FSM,"2005",111412
GAB,"2005",1463495
GBR,"2005",60401206
GEO,"2005",3902469
GHA,"2005",22449438
GIB,"2005",29163
GIN,"2005",9245844
GMB,"2005",1667037
GNB,"2005",1381585
GNQ,"2005",947367
GRC,"2005",10987314
GRD,"2005",109734
GRL,"2005",56935
GTM,"2005",13087629
GUM,"2005",164365
GUY,"2005",760914
HKG,"2005",6813200
HND,"2005",7478355
HRV,"2005",4310145
HTI,"2005",9061273
HUN,"2005",10087065
IDN,"2005",230871650
IMN,"2005",79516
IND,"2005",1154676322
IRL,"2005",4159914
IRN,"2005",71828455
IRQ,"2005",28407448
ISL,"2005",296734
ISR,"2005",6930100
ITA,"2005",58166682
JAM,"2005",2687066
JOR,"2005",6029587
JPN,"2005",127773000
KAZ,"2005",15968117
KEN,"2005",35796484
KGZ,"2005",5162640
KHM,"2005",13439202
KIR,"2005",98035
KNA,"2005",46437
KOR,"2005",48184561
KWT,"2005",2236788
LAO,"2005",5869523
LBN,"2005",4671102
LBR,"2005",3301015
LBY,"2005",5858798
